depth,iterations,accuracy,f1,C
1,0,0.881955194358445,0.795756261282577,100.0
1,2,0.8687607499140008,0.7886729279492436,100.0
1,4,0.8687607499140008,0.7886729279492436,100.0
1,6,0.8687607499140008,0.7886729279492436,100.0
2,0,0.8868507051943585,0.8197871572871573,100.0
2,2,0.8581269349845201,0.7815634647000745,100.0
2,4,0.7704463364293086,0.6042463799100796,100.0
2,6,0.7527584279325765,0.5791451324733059,100.0
3,0,0.8848426212590299,0.8184077034077035,100.0
3,2,0.8908002235982112,0.8246224200635967,100.0
3,4,0.8973426212590299,0.840693848635025,100.0
3,6,0.8963557791537667,0.8213432686594452,100.0
