depth,iterations,accuracy,f1,C
1,0,0.7946428571428571,0.7668365041391357,0.001
1,2,0.7946428571428571,0.7668365041391357,0.001
1,4,0.7946428571428571,0.7668365041391357,0.001
1,6,0.7946428571428571,0.7668365041391357,0.001
2,0,0.8991071428571429,0.8823099993065668,0.001
2,2,0.8571428571428571,0.8347124068405533,0.001
2,4,0.8571428571428571,0.8347124068405533,0.001
2,6,0.8571428571428571,0.8347124068405533,0.001
3,0,0.8866071428571429,0.8704565801079465,0.001
3,2,0.8928571428571427,0.8762965244773024,0.001
3,4,0.8857142857142856,0.8681093899743786,0.001
3,6,0.8857142857142856,0.8681093899743786,0.001
