depth,iterations,accuracy,f1,C
1,0,0.7564907980736154,0.6433234000261864,1.0
1,2,0.7735251117991055,0.6534813180885163,1.0
1,4,0.7735251117991055,0.6534813180885163,1.0
1,6,0.7735251117991055,0.6534813180885163,1.0
2,0,0.8082408840729274,0.7098104342338087,1.0
2,2,0.7577700378396972,0.6579990189549013,1.0
2,4,0.7183350533195736,0.5632661696748384,1.0
2,6,0.6957451840385277,0.5284068915727786,0.1
3,0,0.8545042139662883,0.7886428236795884,10.0
3,2,0.8531217750257998,0.8065749405822935,0.001
3,4,0.832546439628483,0.7681329409754333,1.0
3,6,0.79578173374613,0.7226295853269538,0.001
